text,preds,prob_0,prob_1
"simplistic , silly and tedious .",1,0.0009987049,0.9990013
"it's so laddish and juvenile , only teenage boys could possibly find it funny .",0,0.99097145,0.009028535
exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .,1,0.0010268713,0.99897313
"[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation .",1,0.0012403801,0.9987596
a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,1,0.0010744376,0.9989255
"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count .",1,0.0010407884,0.9989592
about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time .,1,0.00097040174,0.99902964
not so much farcical as sour .,1,0.0033617155,0.9966383
unfortunately the story and the actors are served with a hack script .,1,0.0013393097,0.9986607
"all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject .",1,0.0011726582,0.9988273
a sentimental mess that never rings true .,1,0.0010330313,0.99896693
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary .",1,0.0009825124,0.9990175
"interesting , but not compelling .",1,0.0025348545,0.99746513
"on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire .",1,0.00097493146,0.9990251
"while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle .",1,0.00095747446,0.99904245
there is a difference between movies with the courage to go over the top and movies that don't care about being stupid,1,0.0015430894,0.99845695
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah .",1,0.0025983527,0.9974017
"such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us "" the skulls "" and last year's "" rollerball . "" enough said , except : film overboard !",1,0.023081802,0.9769182
"here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha .",1,0.0010618252,0.99893814
this 100-minute movie only has about 25 minutes of decent material .,1,0.0012557834,0.99874413
the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl .,1,0.28076845,0.7192316
"on its own , it's not very interesting . as a remake , it's a pale imitation .",1,0.00097594573,0.99902403
it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action .,1,0.0017243087,0.99827564
"a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films .",1,0.0018661224,0.99813396
"as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma .",1,0.00095078617,0.99904925
the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville .,1,0.001499363,0.9985007
our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender ó and i know this because i've seen 'jackass : the movie . ',1,0.00094823184,0.99905175
"the criticism never rises above easy , cynical potshots at morally bankrupt characters . . .",1,0.0010213616,0.9989786
"the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here .",1,0.000949407,0.99905056
"stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's "" waking up in reno . "" go back to sleep .",1,0.0009881567,0.9990119
"somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",0,0.9966634,0.0033365435
the action clichÈs just pile up .,1,0.0012154429,0.9987846
"payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast .",1,0.0011917141,0.99880826
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear .,1,0.0010005136,0.99899954
another useless recycling of a brutal mid-'70s american sports movie .,1,0.0009840665,0.9990159
i didn't laugh . i didn't smile . i survived .,1,0.0023118774,0.9976882
"please , someone , stop eric schaeffer before he makes another film .",1,0.0020178133,0.99798214
"most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved",1,0.0010570171,0.99894303
". . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee .",1,0.0013455196,0.9986545
curling may be a unique sport but men with brooms is distinctly ordinary .,1,0.016116494,0.98388344
"though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set .",1,0.0011582844,0.9988417
there's no getting around the fact that this is revenge of the nerds revisited -- again .,1,0.023947464,0.9760525
"the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable .",1,0.0011955298,0.99880445
"analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in .",1,0.000972879,0.99902713
"with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins .",1,0.0009680866,0.9990319
"stinks from start to finish , like a wet burlap sack of gloom .",1,0.0009446997,0.9990553
"to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement .",1,0.0009836635,0.9990163
equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,1,0.001051378,0.99894863
the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,1,0.0010483259,0.9989517
everything is off .,1,0.0015319241,0.9984681
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",0,0.99886936,0.0011305688
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",0,0.99886096,0.0011390472
effective but too-tepid biopic,1,0.0016721037,0.9983279
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",0,0.9988859,0.001114097
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",0,0.99904877,0.00095122785
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,0,0.99899536,0.0010045948
offers that rare combination of entertainment and education .,0,0.99903834,0.0009616897
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.0017055942,0.9982944
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,0,0.99754757,0.002452453
take care of my cat offers a refreshingly different slice of asian cinema .,0,0.99903274,0.00096733944
"this is a film well worth seeing , talking and singing heads and all .",0,0.9990576,0.0009424337
what really surprises about wisegirls is its low-key quality and genuine tenderness .,0,0.9990883,0.0009117581
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",0,0.9989887,0.0010112661
"one of the greatest family-oriented , fantasy-adventure movies ever .",0,0.99895525,0.001044684
"ultimately , it ponders the reasons we need stories so much .",1,0.004316866,0.9956831
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,0,0.9989749,0.0010250917
illuminating if overly talky documentary .,0,0.9964786,0.0035213914
a masterpiece four years in the making .,0,0.99898547,0.0010144883
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",0,0.998516,0.0014839421
offers a breath of the fresh air of true sophistication .,0,0.99908304,0.0009169084
"a thoughtful , provocative , insistently humanizing film .",0,0.99904186,0.0009581764
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",0,0.9988386,0.0011613894
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,0,0.99893135,0.0010686982
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",0,0.9990049,0.0009950958
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,0,0.99894935,0.001050647
"occasionally melodramatic , it's also extremely effective .",0,0.99901927,0.0009807013
spiderman rocks,0,0.9988337,0.0011662918
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,0,0.99907136,0.00092866045
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",0,0.9969951,0.003004943
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,0.0014409443,0.99855906
"guaranteed to move anyone who ever shook , rattled , or rolled .",1,0.0017745205,0.9982255
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",0,0.999073,0.0009269225
"light , cute and forgettable .",0,0.99884903,0.0011509878
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,0.0012914871,0.9987085
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",0,0.9990534,0.00094661606
"though everything might be literate and smart , it never took off and always seemed static .",0,0.9988286,0.0011714392
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",0,0.99902904,0.0009710131
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,0.0010901947,0.99890983
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0,0.9990742,0.0009256965
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,0.0009455925,0.9990544
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",0,0.99891686,0.0010830949
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",0,0.99879396,0.001206049
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,0,0.99897695,0.0010231084
"compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0.22713369,0.77286637
the film makes a strong case for the importance of the musicians in creating the motown sound .,0,0.9989736,0.0010264522
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,0.0017528023,0.99824727
gosling provides an amazing performance that dwarfs everything else in the film .,0,0.99903774,0.0009622639
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",0,0.9990171,0.000982883
tender yet lacerating and darkly funny fable .,0,0.99904484,0.0009551511
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,0,0.99898297,0.001017065
